snippet_text,topic_label
What is lambda function in Python? Anonymous function defined with lambda keyword.,python
What are functions in Python? Functions are blocks of reusable code defined using def keyword.,python
"What is the difference between bytes, bytearray, and memoryview? bytes are immutable sequences of bytes, bytearray is mutable, memoryview provides a view into binary",python
"What is Python's with statement? Used for resource management, ensures proper closing (e.g., with files).",python
What is enumerate() in Python? Returns index and value while iterating over a sequence.,python
"What are Python lists? Ordered, mutable collections of elements.",python
What is method overriding in Python? Providing a new implementation of a parent class method in a child class.,python
"How do you create thread-safe code in Python? By using locks, semaphores, queues, or atomic operations from threading module.",python
"What is the difference between generator and iterator in Python? Generators are a type of iterator created with yield, while iterators can be built with classes.",python
"What is the difference between syntax error and runtime error? Syntax error occurs before execution, runtime error occurs during execution.",python
"What is the difference between staticmethod, classmethod, and instancemethod? @staticmethod doesn’t take self or cls; @classmethod takes cls; instance methods take self.",python
"What is the difference between == and is in Python? == checks value equality, is checks identity (whether two variables point to the same object).",python
What is len() function in Python? Returns the length of a sequence or collection.,python
"How do you declare a variable in Python? Just assign a value: x = 10, y = ""Hello"".",python
What are default arguments in functions? Arguments that assume a default value if not provided during function call.,python
What is encapsulation in Python? Encapsulation means restricting direct access to variables and methods to protect data.,python
"How do you optimize Python code for performance? Techniques: use built-in functions, list comprehensions, generators, NumPy for numerical operations,",python
"What are Python comprehensions? Compact syntax for creating lists, sets, and dictionaries.",python
What are destructors in Python? Destructors (__del__) are called when an object is deleted or goes out of scope.,python
"What is the difference between synchronous and asynchronous code execution? Synchronous waits for tasks sequentially; asynchronous allows overlapping tasks, improving efficienc",python
What is string concatenation in Python? Joining strings using + operator or join() method.,python
What is the difference between yield and return in Python? yield pauses a function and returns a generator; return ends the function and returns a value.,python
"What is __name__ == ""__main__"" in Python? It ensures that code runs only when the script is executed directly, not when imported.",python
"Explain how Python handles function overloading. Python doesn’t support traditional overloading; instead, default arguments or *args/**kwargs are use",python
Explain Python’s async/await syntax. async defines a coroutine; await pauses execution until an awaitable (coroutine/future/task) is comp,python
"What is the difference between a tree and a binary search tree? In BST nodes are ordered, while in a general tree there is no strict ordering.",data_structures_algorithms
"In a singly linked list, what does each node contain? Data and a pointer to the next node.",data_structures_algorithms
How do you perform topological sorting in a DAG? By using Kahn’s algorithm (BFS) or DFS finishing times.,data_structures_algorithms
What is level order traversal? Visiting nodes of a tree level by level using a queue.,data_structures_algorithms
What is the maximum number of nodes at level k in a binary tree? 2k.,data_structures_algorithms
"What is the difference between a tree and a graph? A tree is a hierarchical structure without cycles, while a graph can have cycles and multiple connec",data_structures_algorithms
What is double hashing? A collision resolution method using a second hash function to calculate probe sequence.,data_structures_algorithms
How do you find the number of islands in a grid? By using DFS or BFS traversal marking visited cells.,data_structures_algorithms
"What is a binary heap and why is it efficient? It is a complete binary tree used for priority queues, offering O(log n) insert and delete.",data_structures_algorithms
"What is the time complexity to search a word in a trie? O(L), where L is the length of the word.",data_structures_algorithms
"How do you implement a trie to store a large dictionary of words? Each node represents characters with children pointers, storing isEnd flag for complete words.",data_structures_algorithms
How is a queue different from a stack? Queue uses FIFO while stack uses LIFO.,data_structures_algorithms
What is the best-case time complexity for searching in a BST? O(log n).,data_structures_algorithms
Define a stack in one line. Stack is a linear structure where elements are pushed and popped from one end.,data_structures_algorithms
What is the head in a linked list? The first node of the linked list.,data_structures_algorithms
What is a deque? A double-ended queue where insertion and deletion are possible from both ends.,data_structures_algorithms
"What is the algorithm to reverse nodes in k-group in a linked list? Reverse k nodes iteratively, then connect recursively for remaining nodes.",data_structures_algorithms
How do you build a heap from an array? By applying heapify bottom-up in O(n) time.,data_structures_algorithms
How do you implement two stacks in one array? Divide the array into two parts or let them grow from opposite ends.,data_structures_algorithms
How do you find the longest palindromic substring? By expanding around centers or using dynamic programming.,data_structures_algorithms
What problem occurs in hash tables when two keys map to the same index? Collision.,data_structures_algorithms
How do you find bridges in a graph? By DFS with discovery and low values to identify critical edges.,data_structures_algorithms
What does dynamic array mean? An array that can resize automatically when full.,data_structures_algorithms
How do you implement Kruskal’s algorithm for MST? By sorting edges and applying union-find to avoid cycles.,data_structures_algorithms
How do you implement Rabin-Karp algorithm? By hashing substrings with rolling hash for efficient string search.,data_structures_algorithms
When would you increase input resolution and when would you decrease it? Increase for small/far objects; decrease for speed/memory limits.,machine_learning_basics
What is reward hacking? Agent exploits loophole in rewards.  ,machine_learning_basics
What happens if you shuffle time series for CatBoost? Leakage and bad generalization.,machine_learning_basics
What are embedding dimensions? Number of features in word vector representation,machine_learning_basics
"How is Exclusive Feature Bundling implemented internally? Groups sparse, mutually exclusive features into one bin.",machine_learning_basics
What attribute gives the shape of an array? A.shape,machine_learning_basics
How do you sign typed data (EIP-712) in Web3.js? web3.eth.signTypedData() (depends on version).,machine_learning_basics
What is broadcasting (one sentence)? Rules that let arrays of different shapes participate in arithmetic by implicit expansion of size-1 ,machine_learning_basics
What is a pipeline in Scikit-learn? A sequential workflow of preprocessing and modeling.,machine_learning_basics
"How do you create training examples for NER in v3? Create Example.from_dict(doc, {""entities"":[(start,end,label)]}) objects.",machine_learning_basics
What is intrinsic evaluation? Evaluate embeddings alone.  ,machine_learning_basics
What is the benefit of BN? Stabilizes and speeds up training.,machine_learning_basics
How do you handle categorical features? StringIndexer + OneHotEncoder for categoricals.,machine_learning_basics
How does YOLOv7 achieve efficiency gains? Improved model scaling and reparam conv,machine_learning_basics
What is quantization in Keras? Lower precision for deployment.  ,machine_learning_basics
